                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.84318,                0.69347,                 1.0783,                0.85414,                0.82031,                0.86059,                0.55446,                 1.2467,                0.70031,                 1.3424,               0.001486,               0.001486,               0.001486
                     88,                0.83925,                0.69076,                 1.0722,                0.82538,                0.81466,                0.85495,                 0.5536,                 1.2433,                0.69467,                 1.3408,               0.001387,               0.001387,               0.001387
                     89,                 0.8304,                0.68313,                   1.07,                0.84549,                 0.8125,                0.85233,                0.55439,                 1.2449,                0.69078,                 1.3448,               0.001288,               0.001288,               0.001288
                     90,                0.77884,                 0.5605,                 1.0354,                0.85672,                0.79894,                0.85715,                 0.5604,                  1.229,                0.68555,                 1.3578,               0.001189,               0.001189,               0.001189
                     91,                0.76046,                0.55076,                 1.0241,                0.84265,                0.80789,                 0.8596,                0.55829,                  1.251,                 0.6858,                 1.3585,                0.00109,                0.00109,                0.00109
                     92,                0.73992,                0.53885,                  1.014,                0.86381,                0.80388,                0.85778,                0.55693,                 1.2406,                 0.6803,                 1.3646,               0.000991,               0.000991,               0.000991
                     93,                0.73307,                0.52544,                  1.015,                0.84178,                0.80819,                0.85472,                0.55915,                 1.2334,                0.67895,                 1.3506,               0.000892,               0.000892,               0.000892
                     94,                0.71481,                0.51781,                 1.0034,                0.83596,                0.80603,                0.85169,                0.56672,                 1.2239,                0.66519,                  1.356,               0.000793,               0.000793,               0.000793
                     95,                0.72059,                 0.5187,                 1.0047,                0.86131,                0.80819,                0.85748,                0.55775,                 1.2508,                0.67542,                 1.3716,               0.000694,               0.000694,               0.000694
                     96,                0.70791,                0.50655,                 1.0031,                0.85245,                0.80933,                0.85496,                 0.5691,                 1.2135,                0.65989,                 1.3641,               0.000595,               0.000595,               0.000595
                     97,                0.68596,                0.49853,                0.99468,                0.85151,                 0.8157,                 0.8642,                 0.5729,                 1.2181,                0.65015,                 1.3707,               0.000496,               0.000496,               0.000496
                     98,                0.69361,                0.50367,                0.98839,                0.85561,                0.81466,                0.86549,                0.57216,                 1.2129,                0.65842,                 1.3662,               0.000397,               0.000397,               0.000397
                     99,                0.68715,                0.49855,                0.99746,                 0.8495,                0.81503,                 0.8633,                 0.5724,                 1.2089,                0.65494,                 1.3579,               0.000298,               0.000298,               0.000298
